date,close,support,resistance,atr14,buffer,support_hit_h1,support_d2h_h1,resist_hit_h1,resist_d2h_h1,support_hit_h3,support_d2h_h3,resist_hit_h3,resist_d2h_h3,support_hit_h5,support_d2h_h5,resist_hit_h5,resist_d2h_h5
1970-01-01 00:00:00.000002254,28713.71,25990.46,30000.0,751.2074979951655,57.42742,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002255,29669.04,25990.46,30000.0,813.9255338526535,59.338080000000005,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002256,29909.8,25990.46,30207.55,821.1608528631784,59.8196,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002257,29992.46,25990.46,30379.99,805.9350776586657,59.98492,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002258,33069.99,25990.46,30379.99,1095.3904292544757,66.13998,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002259,33922.73,25990.46,34741.91,1191.9811128791564,67.84546,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002260,34496.05,25990.46,35280.0,1210.6824619592164,68.99210000000001,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002261,34151.66,26088.34,35280.0,1200.8572861049865,68.30332000000001,0,,0,,0,,0,,0,,0,
1970-01-01 00:00:00.000002262,33892.02,26112.06,35280.0,1176.0853370974878,67.78403999999999,0,,0,,0,,0,,0,,1,5.0
1970-01-01 00:00:00.000002263,34081.0,26342.4,35280.0,1137.3170987333817,68.162,0,,0,,0,,0,,0,,1,4.0
1970-01-01 00:00:00.000002264,34525.89,26538.66,35280.0,1114.6594488238545,69.05178,0,,0,,0,,1,3.0,0,,1,3.0
1970-01-01 00:00:00.000002265,34474.73,26538.66,35280.0,1091.6952024792938,68.94946,0,,0,,0,,1,2.0,0,,1,2.0
1970-01-01 00:00:00.000002266,34639.77,26538.66,35280.0,1063.3948308736299,69.27954,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002267,35421.43,26538.66,35280.0,1093.4816286683706,70.84286,0,,1,1.0,0,,1,1.0,0,,1,1.0
1970-01-01 00:00:00.000002268,34941.59,26538.66,35582.0,1135.7322266206297,69.88318,0,,0,,0,,0,,0,,1,5.0
1970-01-01 00:00:00.000002269,34716.78,26538.66,35984.99,1113.644210433442,69.43356,0,,0,,0,,0,,0,,1,5.0
1970-01-01 00:00:00.000002270,35062.07,26538.66,35984.99,1081.9424811167676,70.12414,0,,0,,0,,0,,0,,1,4.0
1970-01-01 00:00:00.000002271,35011.88,26538.66,35984.99,1071.2323038941413,70.02376,0,,0,,0,,1,3.0,0,,1,3.0
