date,close,trend_pred,real_trend,hit
1920,16700.68,SIDE,DOWN,0
1921,16280.23,SIDE,DOWN,0
1922,15781.29,SIDE,UP,0
1923,16226.94,SIDE,UP,0
1924,16603.11,SIDE,DOWN,0
1925,16598.95,DOWN,DOWN,1
1926,16522.14,DOWN,DOWN,1
1927,16458.57,DOWN,DOWN,1
1928,16428.78,DOWN,DOWN,1
1929,16212.91,DOWN,UP,0
1930,16442.53,DOWN,UP,0
1931,17163.64,DOWN,DOWN,1
1932,16977.37,SIDE,UP,0
1933,17092.74,SIDE,DOWN,0
1934,16885.2,SIDE,UP,0
1935,17105.7,UP,DOWN,0
1936,16966.35,UP,UP,1
1937,17088.96,UP,DOWN,0
1938,16836.64,UP,UP,1
1939,17224.1,UP,DOWN,0
1940,17128.56,UP,DOWN,0
1941,17127.49,UP,DOWN,0
1942,17085.05,UP,UP,1
1943,17209.83,SIDE,UP,0
1944,17774.7,SIDE,UP,0
1945,17803.15,SIDE,DOWN,0
1946,17356.34,SIDE,DOWN,0
1947,16632.12,SIDE,UP,0
1948,16776.52,UP,DOWN,0
1949,16738.21,UP,DOWN,0
1950,16438.88,SIDE,UP,0
1951,16895.56,SIDE,DOWN,0
1952,16824.67,SIDE,DOWN,0
1953,16821.43,SIDE,DOWN,0
1954,16778.5,DOWN,UP,0
1955,16836.12,DOWN,DOWN,1
1956,16832.11,DOWN,UP,0
1957,16919.39,DOWN,DOWN,1
1958,16706.36,DOWN,DOWN,1
1959,16547.31,DOWN,UP,0
1960,16633.47,DOWN,DOWN,1
1961,16607.48,DOWN,DOWN,1
1962,16542.4,DOWN,UP,0
1963,16616.75,DOWN,UP,0
1964,16672.87,SIDE,UP,0
1965,16675.18,SIDE,UP,0
1966,16850.36,SIDE,DOWN,0
1967,16831.85,SIDE,UP,0
1968,16950.65,SIDE,DOWN,0
1969,16943.57,SIDE,UP,0
1970,17127.83,SIDE,UP,0
1971,17178.26,SIDE,UP,0
1972,17440.66,SIDE,UP,0
1973,17943.26,SIDE,UP,0
1974,18846.62,SIDE,UP,0
1975,19930.01,SIDE,UP,0
1976,20954.92,SIDE,DOWN,0
1977,20871.5,SIDE,UP,0
1978,21185.65,SIDE,DOWN,0
1979,21134.81,SIDE,DOWN,0
1980,20677.47,SIDE,UP,0
1981,21071.59,SIDE,UP,0
1982,22667.21,SIDE,UP,0
1983,22783.55,SIDE,DOWN,0
1984,22707.88,SIDE,UP,0
1985,22916.45,SIDE,DOWN,0
1986,22632.89,UP,UP,1
1987,23060.94,UP,DOWN,0
1988,23009.65,UP,UP,1
1989,23074.16,UP,DOWN,0
1990,23022.6,UP,UP,1
1991,23742.3,UP,DOWN,0
1992,22826.15,UP,UP,1
1993,23125.13,UP,UP,1
1994,23732.66,UP,DOWN,0
1995,23488.94,UP,DOWN,0
1996,23431.9,UP,DOWN,0
1997,23326.84,UP,DOWN,0
1998,22932.91,UP,DOWN,0
1999,22762.52,UP,UP,1
2000,23240.46,UP,DOWN,0
2001,22963.0,UP,DOWN,0
2002,21796.35,UP,DOWN,0
2003,21625.19,UP,UP,1
2004,21862.55,SIDE,DOWN,0
2005,21783.54,SIDE,DOWN,0
2006,21773.97,DOWN,UP,0
2007,22199.84,DOWN,UP,0
2008,24324.05,DOWN,DOWN,1
2009,23517.72,DOWN,UP,0
2010,24569.97,DOWN,UP,0
2011,24631.95,DOWN,DOWN,1
2012,24271.76,SIDE,UP,0
2013,24842.2,SIDE,DOWN,0
2014,24452.16,SIDE,DOWN,0
2015,24182.21,SIDE,DOWN,0
2016,23940.2,SIDE,DOWN,0
2017,23185.29,SIDE,DOWN,0
2018,23157.07,SIDE,UP,0
2019,23554.85,SIDE,DOWN,0
2020,23492.09,SIDE,DOWN,0
2021,23141.57,UP,UP,1
2022,23628.97,UP,DOWN,0
2023,23465.32,UP,DOWN,0
2024,22354.34,UP,DOWN,0
2025,22346.57,SIDE,UP,0
2026,22430.24,SIDE,DOWN,0
2027,22410.0,DOWN,DOWN,1
2028,22197.96,DOWN,DOWN,1
2029,21705.44,DOWN,DOWN,1
2030,20362.22,DOWN,DOWN,1
2031,20150.69,DOWN,UP,0
2032,20455.73,DOWN,UP,0
2033,21997.11,DOWN,UP,0
2034,24113.48,DOWN,UP,0
2035,24670.41,DOWN,DOWN,1
2036,24285.66,DOWN,UP,0
2037,24998.78,DOWN,UP,0
2038,27395.13,SIDE,DOWN,0
2039,26907.49,SIDE,UP,0
2040,27972.87,SIDE,DOWN,0
2041,27717.01,SIDE,UP,0
2042,28105.47,SIDE,DOWN,0
2043,27250.97,SIDE,UP,0
2044,28295.41,SIDE,DOWN,0
2045,27454.47,SIDE,UP,0
2046,27462.95,UP,UP,1
2047,27968.05,UP,DOWN,0
2048,27124.91,UP,UP,1
2049,27261.07,UP,UP,1
2050,28348.6,UP,DOWN,0
2051,28028.53,SIDE,UP,0
2052,28465.36,UP,DOWN,0
2053,28452.73,UP,DOWN,0
2054,28171.87,UP,DOWN,0
2055,27800.0,UP,UP,1
2056,28165.47,UP,UP,1
2057,28170.01,UP,DOWN,0
2058,28033.82,UP,DOWN,0
2059,27906.33,UP,UP,1
2060,27938.38,SIDE,UP,0
2061,28323.76,SIDE,UP,0
2062,29637.34,SIDE,UP,0
2063,30200.42,SIDE,DOWN,0
2064,29888.07,SIDE,UP,0
2065,30373.84,SIDE,UP,0
2066,30466.93,SIDE,DOWN,0
2067,30295.09,SIDE,UP,0
2068,30304.65,SIDE,DOWN,0
2069,29430.27,UP,UP,1
2070,30380.01,UP,DOWN,0
2071,28797.1,UP,DOWN,0
2072,28243.65,UP,DOWN,0
2073,27262.84,UP,UP,1
2074,27816.85,UP,DOWN,0
2075,27590.6,UP,DOWN,0
2076,27510.93,SIDE,UP,0
2077,28300.79,SIDE,UP,0
2078,28415.29,SIDE,UP,0
2079,29472.77,SIDE,DOWN,0
2080,29311.7,SIDE,DOWN,0
2081,29230.45,DOWN,UP,0
2082,29233.21,DOWN,DOWN,1
2083,28068.26,DOWN,UP,0
2084,28669.86,DOWN,UP,0
2085,29026.16,DOWN,DOWN,1
2086,28838.16,SIDE,UP,0
2087,29505.61,SIDE,DOWN,0
2088,28848.2,SIDE,DOWN,0
2089,28430.1,SIDE,DOWN,0
2090,27668.79,SIDE,DOWN,0
2091,27628.27,SIDE,DOWN,0
2092,27598.75,SIDE,DOWN,0
2093,26968.62,SIDE,DOWN,0
2094,26795.01,SIDE,DOWN,0
2095,26775.28,SIDE,UP,0
2096,26917.62,SIDE,UP,0
2097,27162.14,DOWN,DOWN,1
2098,27033.84,DOWN,UP,0
2099,27405.61,DOWN,DOWN,1
2100,26821.28,DOWN,UP,0
2101,26880.26,DOWN,UP,0
2102,27102.43,DOWN,DOWN,1
2103,26747.78,SIDE,UP,0
2104,26849.27,SIDE,UP,0
2105,27219.61,SIDE,DOWN,0
2106,26329.01,SIDE,UP,0
2107,26473.79,SIDE,UP,0
2108,26705.92,SIDE,UP,0
2109,26854.27,SIDE,UP,0
2110,28065.0,DOWN,DOWN,1
2111,27736.4,DOWN,DOWN,1
2112,27694.4,DOWN,DOWN,1
2113,27210.35,DOWN,DOWN,1
2114,26817.93,SIDE,UP,0
2115,27242.59,SIDE,DOWN,0
2116,27069.22,SIDE,UP,0
2117,27115.21,SIDE,DOWN,0
2118,25728.2,UP,UP,1
2119,27230.08,UP,DOWN,0
2120,26339.34,SIDE,UP,0
2121,26498.61,SIDE,DOWN,0
2122,26477.81,DOWN,DOWN,1
2123,25841.21,DOWN,UP,0
2124,25925.55,DOWN,DOWN,1
2125,25905.19,DOWN,UP,0
2126,25934.25,SIDE,DOWN,0
2127,25128.6,SIDE,UP,0
2128,25598.49,SIDE,UP,0
2129,26345.0,SIDE,UP,0
2130,26516.99,SIDE,DOWN,0
2131,26339.97,DOWN,UP,0
2132,26844.35,DOWN,UP,0
2133,28307.99,DOWN,UP,0
2134,29993.89,DOWN,DOWN,1
2135,29884.92,DOWN,UP,0
2136,30688.5,DOWN,DOWN,1
2137,30527.43,DOWN,DOWN,1
2138,30462.66,DOWN,DOWN,1
2139,30267.99,SIDE,UP,0
2140,30692.44,SIDE,DOWN,0
2141,30077.41,SIDE,UP,0
2142,30447.31,SIDE,UP,0
2143,30472.0,SIDE,UP,0
2144,30585.9,SIDE,UP,0
2145,30617.03,SIDE,UP,0
2146,31156.2,UP,DOWN,0
2147,30766.51,UP,DOWN,0
2148,30504.81,UP,DOWN,0
2149,29895.43,SIDE,UP,0
2150,30344.7,SIDE,DOWN,0
2151,30284.63,SIDE,DOWN,0
2152,30160.71,UP,UP,1
2153,30411.57,UP,UP,1
2154,30622.1,UP,DOWN,0
2155,30380.0,UP,UP,1
2156,31454.23,SIDE,DOWN,0
2157,30312.01,SIDE,DOWN,0
2158,30289.52,SIDE,DOWN,0
2159,30231.99,UP,DOWN,0
2160,30138.0,SIDE,DOWN,0
2161,29859.13,SIDE,UP,0
2162,29909.21,SIDE,DOWN,0
2163,29800.0,SIDE,UP,0
2164,29901.72,SIDE,DOWN,0
2165,29794.0,SIDE,UP,0
2166,30083.75,DOWN,DOWN,1
2167,29176.5,DOWN,UP,0
2168,29228.91,DOWN,UP,0
2169,29351.96,DOWN,DOWN,1
2170,29222.78,DOWN,UP,0
2171,29314.14,DOWN,UP,0
2172,29352.9,DOWN,DOWN,1
2173,29281.09,DOWN,DOWN,1
2174,29232.25,DOWN,UP,0
2175,29705.99,DOWN,DOWN,1
2176,29186.01,DOWN,UP,0
2177,29193.64,DOWN,DOWN,1
2178,29113.99,DOWN,DOWN,1
2179,29072.13,DOWN,UP,0
2180,29088.42,DOWN,UP,0
2181,29211.06,SIDE,UP,0
2182,29770.42,SIDE,DOWN,0
2183,29581.99,SIDE,DOWN,0
2184,29455.75,SIDE,DOWN,0
2185,29426.03,UP,UP,1
2186,29430.17,UP,DOWN,0
2187,29303.84,UP,UP,1
2188,29430.93,UP,DOWN,0
2189,29200.0,UP,DOWN,0
2190,28730.51,UP,DOWN,0
2191,26623.41,SIDE,DOWN,0
2192,26054.0,SIDE,UP,0
2193,26100.01,SIDE,UP,0
2194,26189.99,DOWN,DOWN,1
2195,26126.92,DOWN,DOWN,1
2196,26056.0,DOWN,UP,0
2197,26432.72,DOWN,DOWN,1
2198,26180.05,DOWN,DOWN,1
2199,26060.01,DOWN,DOWN,1
2200,26017.37,DOWN,UP,0
2201,26101.77,DOWN,UP,0
2202,26120.0,SIDE,UP,0
2203,27716.34,SIDE,DOWN,0
2204,27299.99,SIDE,DOWN,0
2205,25940.78,SIDE,DOWN,0
2206,25805.05,UP,UP,1
2207,25869.51,UP,UP,1
2208,25971.21,UP,DOWN,0
2209,25826.02,SIDE,DOWN,0
2210,25792.1,SIDE,DOWN,0
2211,25759.95,SIDE,UP,0
2212,26255.0,SIDE,DOWN,0
2213,25910.5,SIDE,DOWN,0
2214,25901.61,SIDE,DOWN,0
2215,25841.61,SIDE,DOWN,0
2216,25162.52,DOWN,UP,0
2217,25840.1,DOWN,UP,0
2218,26222.0,DOWN,UP,0
2219,26522.73,DOWN,UP,0
2220,26600.0,DOWN,DOWN,1
2221,26559.67,DOWN,DOWN,1
2222,26527.51,DOWN,UP,0
2223,26762.51,SIDE,UP,0
2224,27210.26,SIDE,DOWN,0
2225,27125.0,SIDE,DOWN,0
2226,26568.08,UP,UP,1
2227,26580.14,UP,DOWN,0
2228,26575.96,UP,DOWN,0
2229,26248.38,UP,UP,1
2230,26304.81,UP,DOWN,0
2231,26221.67,UP,UP,1
2232,26372.99,UP,UP,1
2233,27021.39,SIDE,DOWN,0
2234,26906.96,SIDE,UP,0
2235,26962.56,SIDE,UP,0
2236,27992.57,DOWN,DOWN,1
2237,27494.51,DOWN,DOWN,1
2238,27426.46,DOWN,UP,0
2239,27778.57,DOWN,DOWN,1
2240,27410.39,SIDE,UP,0
2241,27931.09,SIDE,UP,0
2242,27956.67,SIDE,DOWN,0
2243,27917.05,SIDE,DOWN,0
2244,27590.12,UP,DOWN,0
2245,27390.12,UP,DOWN,0
2246,26875.52,UP,DOWN,0
2247,26759.63,UP,UP,1
2248,26862.0,UP,DOWN,0
2249,26852.48,UP,UP,1
2250,27154.15,UP,UP,1
2251,28500.78,UP,DOWN,0
2252,28395.91,UP,DOWN,0
2253,28320.0,UP,UP,1
2254,28713.71,UP,UP,1
2255,29669.04,UP,UP,1
2256,29909.8,UP,UP,1
2257,29992.46,UP,UP,1
2258,33069.99,UP,UP,1
2259,33922.73,UP,UP,1
2260,34496.05,UP,DOWN,0
2261,34151.66,UP,DOWN,0
2262,33892.02,UP,UP,1
2263,34081.0,UP,UP,1
2264,34525.89,UP,DOWN,0
2265,34474.73,UP,UP,1
2266,34639.77,UP,UP,1
2267,35421.43,UP,DOWN,0
2268,34941.59,UP,DOWN,0
2269,34716.78,UP,UP,1
